nro_registro_interno,fecha_ingreso_denuncia,tema,subtema,referido_tipo,nacionalidad,provincia,localidad,genero,edad_aparente,embarazada,discapacidad,provincia_indec_id
2584554505,2020-01-01,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Buenos Aires,Buenos Aires,Mujer,14,No,,6
2584554505,2020-01-01,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Mujer,36,No,,2
2594554505,2020-01-02,Trata,Persona desaparecida,Victima directa,Paraguay,Buenos Aires,,Mujer,,No,,6
3584554505,2020-01-02,Trata,"Extracción forzosa de órganos, tejidos o fluidos",Acusado,Argentina,Buenos Aires,San Francisco Solano,Hombre,60,No,,6
594554505,2020-01-02,Trata,Explotación sexual,Acusado,Argentina,Córdoba,Laboulaye,Hombre,,No,,14
4594554505,2020-01-03,Trata,Explotación sexual,Victima directa,,Buenos Aires,,Mujer,,No,,6
9405554505,2020-01-03,Trata,Explotación sexual,Acusado,,Buenos Aires,Mar del Plata,,,No,,6
7505554505,2020-01-04,Trata,Oferta laboral engañosa,Victima indirecta - familiar,,Buenos Aires,Villa Crespo,Hombre,,No,,6
7505554505,2020-01-04,Trata,Oferta laboral engañosa,Victima directa,Argentina,Buenos Aires,,Mujer,,No,,6
7505554505,2020-01-04,Trata,Oferta laboral engañosa,Acusado,Otro,,,Hombre,,No,,
8415554505,2020-01-04,Trata,Persona desaparecida,Victima directa,Paraguay,Buenos Aires,,Mujer,,No,,6
8415554505,2020-01-04,Trata,Persona desaparecida,Victima indirecta - familiar,,Buenos Aires,,Mujer,,No,,6
9415554505,2020-01-04,Trata,Venta de niños y otros delitos,Victima directa,,Tucumán,San Miguel de Tucumán,Mujer,,No,,90
9415554505,2020-01-04,Trata,Venta de niños y otros delitos,Acusado,,Tucumán,San Miguel de Tucumán,Hombre,,No,,90
5515554505,2020-01-06,Trata,"Pornografía infantil, venta de niños y otros delitos, estafa",Victima directa,,,,Mujer,,No,,
9425554505,2020-01-06,Trata,Explotación sexual,Victima directa,,,,Mujer,,No,,
9425554505,2020-01-06,Trata,Explotación sexual,Acusado,,,,Hombre,,No,,
1525554505,2020-01-07,Trata,"Persona desaparecida, venta de niños y otros delitos",Victima directa,Argentina,Buenos Aires,Melchor Romero,Mujer,27,No,,6
1525554505,2020-01-07,Trata,"Persona desaparecida, venta de niños y otros delitos",Victima directa,,,,Mujer,1,No,,
2525554505,2020-01-07,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,,,,Mujer,,No,,
525554505,2020-01-07,Trata,"Explotación sexual, explotación sexual niñas, niños y adolescentes",Acusado,Argentina,,,Mujer,50,No,,
525554505,2020-01-07,Trata,"Explotación sexual, explotación sexual niñas, niños y adolescentes",Acusado,,,,Hombre,,No,,
5525554505,2020-01-08,Trata,Explotación sexual,Acusado,,Salta,Tartagal,Hombre,,No,,66
